design,procedure,participant,period,position,posture,support,precision,recall,f1
grouped_repetitions,all10_default,Pooled,all_rows,1,Standing straight,25486,0.48945334395374224,0.6509848544298831,0.558779448663759
grouped_repetitions,all10_default,Pooled,all_rows,2,Left arm raise,3624,0.5183760683760684,0.3347130242825607,0.4067739771965124
grouped_repetitions,all10_default,Pooled,all_rows,3,Right arm raise,3598,0.43015931826602444,0.3226792662590328,0.3687470223916151
grouped_repetitions,all10_default,Pooled,all_rows,4,Left shoulder touch and twist,3593,0.2751060820367751,0.21653214583913163,0.24232985516274724
grouped_repetitions,all10_default,Pooled,all_rows,5,Right shoulder touch and twist,3600,0.3230904302019315,0.20444444444444446,0.2504253147329024
grouped_repetitions,all10_default,Pooled,all_rows,6,Both arms raise,3600,0.5618744313011829,0.34305555555555556,0.4260089686098655
grouped_repetitions,all10_default,Pooled,all_rows,7,Forward bend,3601,0.5318302387267905,0.3340738683698973,0.41037011768719084
grouped_repetitions,all10_default,Pooled,all_rows,8,Sitting,3599,0.3692587539790814,0.22561822728535705,0.2800965850293205
grouped_repetitions,all10_default,Pooled,held_only,1,Standing straight,21001,0.5123080018780602,0.7273939336222085,0.601192467384246
grouped_repetitions,all10_default,Pooled,held_only,2,Left arm raise,2995,0.6388888888888888,0.3609348914858097,0.4612758694260721
grouped_repetitions,all10_default,Pooled,held_only,3,Right arm raise,2995,0.5,0.32220367278797996,0.39187817258883245
grouped_repetitions,all10_default,Pooled,held_only,4,Left shoulder touch and twist,3001,0.2821002386634845,0.19693435521492836,0.23194662480376765
grouped_repetitions,all10_default,Pooled,held_only,5,Right shoulder touch and twist,3005,0.39438339438339437,0.21497504159733777,0.2782683609735085
grouped_repetitions,all10_default,Pooled,held_only,6,Both arms raise,3006,0.6845238095238095,0.38256819693945443,0.4908237302603501
grouped_repetitions,all10_default,Pooled,held_only,7,Forward bend,3001,0.673581452104942,0.3678773742085971,0.47586206896551725
grouped_repetitions,all10_default,Pooled,held_only,8,Sitting,3005,0.3862887277521424,0.19500831946755406,0.2591773551525874
grouped_repetitions,all10_default,P01,all_rows,1,Standing straight,8476,0.5025254762959681,0.6690655969797074,0.5739588077526441
grouped_repetitions,all10_default,P01,all_rows,2,Left arm raise,1223,0.43283582089552236,0.3793949304987735,0.4043572984749455
grouped_repetitions,all10_default,P01,all_rows,3,Right arm raise,1199,0.3870967741935484,0.3002502085070892,0.3381869422263974
grouped_repetitions,all10_default,P01,all_rows,4,Left shoulder touch and twist,1202,0.3288590604026846,0.20382695507487522,0.2516692347200822
