design,participant,outer_fold,candidate_id,candidate,features,inner_macro_f1
random_rows,P01,0,5,ExtraTrees300_spatial,spatial,0.9536761758733977
random_rows,P02,0,3,ExtraTrees300,raw,0.9477554910979774
random_rows,P03,0,3,ExtraTrees300,raw,0.9476249152041197
grouped_repetitions,P01,1,9,XGBoost300_spatial_balanced,spatial,0.5423578894176178
grouped_repetitions,P01,2,9,XGBoost300_spatial_balanced,spatial,0.43672383843095886
grouped_repetitions,P01,3,9,XGBoost300_spatial_balanced,spatial,0.4248854753187749
grouped_repetitions,P01,4,9,XGBoost300_spatial_balanced,spatial,0.39811364577574243
grouped_repetitions,P01,5,9,XGBoost300_spatial_balanced,spatial,0.4409489539713478
grouped_repetitions,P02,1,9,XGBoost300_spatial_balanced,spatial,0.5309537963443983
grouped_repetitions,P02,2,9,XGBoost300_spatial_balanced,spatial,0.5184180019013568
grouped_repetitions,P02,3,9,XGBoost300_spatial_balanced,spatial,0.42935582401576644
grouped_repetitions,P02,4,9,XGBoost300_spatial_balanced,spatial,0.4425593934998644
grouped_repetitions,P02,5,11,KNN15_distance,raw,0.40582098169898106
grouped_repetitions,P03,1,9,XGBoost300_spatial_balanced,spatial,0.515407977616453
grouped_repetitions,P03,2,9,XGBoost300_spatial_balanced,spatial,0.40509991439758614
grouped_repetitions,P03,3,9,XGBoost300_spatial_balanced,spatial,0.4135461545673131
grouped_repetitions,P03,4,9,XGBoost300_spatial_balanced,spatial,0.4243278370746272
grouped_repetitions,P03,5,9,XGBoost300_spatial_balanced,spatial,0.425625810370167
