design,participant,outer_fold,shared_nominal_groups,test_rows,test_fraction_adjacent_to_training
random_rows,P01,0,36,3380,0.9582840236686391
random_rows,P02,0,36,3380,0.9576923076923077
random_rows,P03,0,36,3381,0.9568175096125406
grouped_repetitions,P01,1,0,3462,0.003755054881571346
grouped_repetitions,P01,2,0,3361,0.0041654269562630165
grouped_repetitions,P01,3,0,3363,0.004162949747249479
grouped_repetitions,P01,4,0,3353,0.0041753653444676405
grouped_repetitions,P01,5,0,3361,0.003867896459387087
grouped_repetitions,P02,1,0,3461,0.0037561398439757295
grouped_repetitions,P02,2,0,3358,0.004169148302561048
grouped_repetitions,P02,3,0,3361,0.0041654269562630165
grouped_repetitions,P02,4,0,3364,0.004161712247324614
grouped_repetitions,P02,5,0,3356,0.0038736591179976162
grouped_repetitions,P03,1,0,3459,0.0037583116507661175
grouped_repetitions,P03,2,0,3362,0.004164187983343248
grouped_repetitions,P03,3,0,3356,0.004171632896305125
grouped_repetitions,P03,4,0,3362,0.004164187983343248
grouped_repetitions,P03,5,0,3362,0.003866745984533016
