participant,sensor,samples,adc_min,adc_max,adc_le_5,adc_ge_3900,adc_equal_4095,percent_ge_3900,invalid_resistance
S1,1,16900,2465.0,3257.0,0,0,0,0.0,0
S1,2,16900,2349.0,4095.0,0,24,13,0.14201183431952663,13
S1,3,16900,2559.0,3431.0,0,0,0,0.0,0
S1,4,16900,2605.0,3546.0,0,0,0,0.0,0
S1,5,16900,2557.0,3834.0,0,0,0,0.0,0
S1,6,16900,2082.0,3859.0,0,0,0,0.0,0
S1,7,16900,2416.0,3245.0,0,0,0,0.0,0
S1,8,16900,2124.0,4095.0,0,9,9,0.05325443786982248,9
S1,9,16900,2381.0,3777.0,0,0,0,0.0,0
S1,10,16900,1988.0,3612.0,0,0,0,0.0,0
S2,1,16900,2425.0,4095.0,0,25,25,0.14792899408284024,25
S2,2,16900,2320.0,4095.0,0,16,10,0.09467455621301775,10
S2,3,16900,2446.0,3406.0,0,0,0,0.0,0
S2,4,16900,2545.0,2976.0,0,0,0,0.0,0
S2,5,16900,2484.0,3686.0,0,0,0,0.0,0
S2,6,16900,2447.0,3210.0,0,0,0,0.0,0
S2,7,16900,2362.0,3840.0,0,0,0,0.0,0
S2,8,16900,2133.0,2709.0,0,0,0,0.0,0
S2,9,16900,2223.0,4095.0,0,315,315,1.863905325443787,315
S2,10,16900,1858.0,2510.0,0,0,0,0.0,0
S3,1,16901,2402.0,3351.0,0,0,0,0.0,0
S3,2,16901,2352.0,2942.0,0,0,0,0.0,0
S3,3,16901,2364.0,3506.0,0,0,0,0.0,0
S3,4,16901,2553.0,3535.0,0,0,0,0.0,0
S3,5,16901,2505.0,3275.0,0,0,0,0.0,0
S3,6,16901,2530.0,3556.0,0,0,0,0.0,0
S3,7,16901,2369.0,3213.0,0,0,0,0.0,0
S3,8,16901,1857.0,2372.0,0,0,0,0.0,0
S3,9,16901,2313.0,3598.0,0,0,0,0.0,0
S3,10,16901,2188.0,2930.0,0,0,0,0.0,0
