configuration,participant,period,support,accuracy,error_rate
Selected 1,S1,Held posture,677,0.4815361890694239,0.5184638109305761
Selected 1,S1,Transition,117,0.3162393162393162,0.6837606837606838
Selected 1,S2,Held posture,678,0.4424778761061947,0.5575221238938053
Selected 1,S2,Transition,118,0.288135593220339,0.711864406779661
Selected 1,S3,Held posture,677,0.38404726735598227,0.6159527326440177
Selected 1,S3,Transition,111,0.3063063063063063,0.6936936936936937
Selected 1,All,Held posture,2032,0.4360236220472441,0.5639763779527559
Selected 1,All,Transition,346,0.30346820809248554,0.6965317919075145
Selected 2,S1,Held posture,677,0.568685376661743,0.431314623338257
Selected 2,S1,Transition,117,0.17094017094017094,0.829059829059829
Selected 2,S2,Held posture,678,0.4882005899705015,0.5117994100294985
Selected 2,S2,Transition,118,0.23728813559322035,0.7627118644067796
Selected 2,S3,Held posture,677,0.4519940915805022,0.5480059084194978
Selected 2,S3,Transition,111,0.36036036036036034,0.6396396396396397
Selected 2,All,Held posture,2032,0.5029527559055118,0.4970472440944882
Selected 2,All,Transition,346,0.2543352601156069,0.7456647398843931
Selected 3,S1,Held posture,677,0.6026587887740029,0.3973412112259971
Selected 3,S1,Transition,117,0.18803418803418803,0.811965811965812
Selected 3,S2,Held posture,678,0.5132743362831859,0.48672566371681414
Selected 3,S2,Transition,118,0.2711864406779661,0.728813559322034
Selected 3,S3,Held posture,677,0.5406203840472673,0.4593796159527327
Selected 3,S3,Transition,111,0.2972972972972973,0.7027027027027026
Selected 3,All,Held posture,2032,0.5521653543307087,0.4478346456692913
Selected 3,All,Transition,346,0.2514450867052023,0.7485549132947977
Full 10,S1,Held posture,677,0.6602658788774003,0.3397341211225997
Full 10,S1,Transition,117,0.18803418803418803,0.811965811965812
Full 10,S2,Held posture,678,0.6342182890855457,0.3657817109144543
Full 10,S2,Transition,118,0.288135593220339,0.711864406779661
Full 10,S3,Held posture,677,0.6189069423929099,0.3810930576070901
Full 10,S3,Transition,111,0.21621621621621623,0.7837837837837838
Full 10,All,Held posture,2032,0.6377952755905512,0.36220472440944884
Full 10,All,Transition,346,0.23121387283236994,0.7687861271676301
Full 9 (S9 excluded),S1,Held posture,677,0.6632200886262924,0.33677991137370755
Full 9 (S9 excluded),S1,Transition,117,0.1623931623931624,0.8376068376068376
Full 9 (S9 excluded),S2,Held posture,678,0.6238938053097345,0.3761061946902655
Full 9 (S9 excluded),S2,Transition,118,0.22033898305084745,0.7796610169491526
Full 9 (S9 excluded),S3,Held posture,677,0.5952732644017725,0.40472673559822747
Full 9 (S9 excluded),S3,Transition,111,0.24324324324324326,0.7567567567567568
Full 9 (S9 excluded),All,Held posture,2032,0.6274606299212598,0.37253937007874016
Full 9 (S9 excluded),All,Transition,346,0.20809248554913296,0.791907514450867
