outer_rep,participant,configuration,sensors,inner_mean_accuracy,inner_mean_balanced_accuracy,outer_accuracy,outer_balanced_accuracy,outer_macro_f1,n_test_samples,n_test_groups
1,S1,Selected 1,S4,0.46764553680716214,0.3954800258698964,0.4264705882352941,0.27928743961352653,0.2923332606756802,136,7
1,S1,Selected 2,S4-S7,0.6080707721589562,0.5417994163796402,0.5367647058823529,0.3385265700483092,0.36464383709458625,136,7
1,S1,Selected 3,S4-S7-S8,0.6357820841050223,0.5704190562083999,0.5882352941176471,0.3953502415458937,0.41911207664884137,136,7
1,S1,Full 10,S1-S2-S3-S4-S5-S6-S7-S8-S9-S10,,,0.5588235294117647,0.31328502415458936,0.32910725928910434,136,7
1,S1,Full 9 (S9 excluded),S1-S2-S3-S4-S5-S6-S7-S8-S10,,,0.5588235294117647,0.29981884057971014,0.32307969807969805,136,7
2,S1,Selected 1,S4,0.4730504972988215,0.39421054626696017,0.5,0.43194444444444446,0.4366320770732536,134,7
2,S1,Selected 2,S4-S7,0.5631855081612119,0.47640443615257044,0.6492537313432836,0.6318376068376069,0.5728291360272244,134,7
2,S1,Selected 3,S4-S6-S7,0.583831660183411,0.4964793532868479,0.6268656716417911,0.6260683760683761,0.556034904448037,134,7
2,S1,Full 10,S1-S2-S3-S4-S5-S6-S7-S8-S9-S10,,,0.6492537313432836,0.6438034188034187,0.6256618284965808,134,7
2,S1,Full 9 (S9 excluded),S1-S2-S3-S4-S5-S6-S7-S8-S10,,,0.7164179104477612,0.7471153846153846,0.700433484644011,134,7
3,S1,Selected 1,S4,0.4576108428446005,0.3673802263234617,0.5109489051094891,0.4100490196078431,0.4270934772119139,137,7
3,S1,Selected 2,S4-S5,0.5727063213345039,0.518816222432333,0.5620437956204379,0.43080065359477127,0.4423012474730543,137,7
3,S1,Selected 3,S4-S5-S8,0.5761907374890254,0.5196105148930734,0.6058394160583942,0.48864379084967313,0.507319449518938,137,7
3,S1,Full 10,S1-S2-S3-S4-S5-S6-S7-S8-S9-S10,,,0.7445255474452555,0.7970588235294118,0.7545234026260711,137,7
3,S1,Full 9 (S9 excluded),S1-S2-S3-S4-S5-S6-S7-S8-S10,,,0.7153284671532847,0.7044117647058824,0.707772970638808,137,7
4,S1,Selected 1,S4,0.43454208134937167,0.35322497240256195,0.4925373134328358,0.4190713101160862,0.439216789991271,134,7
4,S1,Selected 2,S4-S7,0.5545120175208116,0.46894219156447414,0.5671641791044776,0.536214759535655,0.5286464602693116,134,7
4,S1,Selected 3,S4-S7-S8,0.5932533420275181,0.5071838044024745,0.6567164179104478,0.5891169154228856,0.5922532024505709,134,7
4,S1,Full 10,S1-S2-S3-S4-S5-S6-S7-S8-S9-S10,,,0.7611940298507462,0.6082918739635157,0.6486152736152736,134,7
4,S1,Full 9 (S9 excluded),S1-S2-S3-S4-S5-S6-S7-S8-S10,,,0.7164179104477612,0.5545605306799337,0.6096306471306472,134,7
5,S1,Selected 1,S4,0.41401969328967014,0.34755946193682385,0.47794117647058826,0.31834150326797384,0.3232500860437102,136,7
5,S1,Selected 2,S4-S5,0.5381990060432061,0.4924547005610677,0.5294117647058824,0.3645833333333333,0.3565221337801983,136,7
5,S1,Selected 3,S4-S5-S6,0.5803174044974783,0.529134947659075,0.5367647058823529,0.3622549019607843,0.3590894246899321,136,7
5,S1,Full 10,S1-S2-S3-S4-S5-S6-S7-S8-S9-S10,,,0.5882352941176471,0.36074346405228763,0.4133028083028083,136,7
5,S1,Full 9 (S9 excluded),S1-S2-S3-S4-S5-S6-S7-S8-S10,,,0.6102941176470589,0.3982434640522876,0.45947381842910573,136,7
1,S2,Selected 1,S3,0.45987035031417023,0.433328651303992,0.39705882352941174,0.3282608695652174,0.2996777589081947,136,7
1,S2,Selected 2,S3-S8,0.5538566515141481,0.5275786130284021,0.39705882352941174,0.37379227053140096,0.3687237724421371,136,7
1,S2,Selected 3,S3-S6-S8,0.5945719748782446,0.5582650927556831,0.40441176470588236,0.3579710144927536,0.3580900459189933,136,7
1,S2,Full 10,S1-S2-S3-S4-S5-S6-S7-S8-S9-S10,,,0.5588235294117647,0.35048309178743964,0.3922157860499354,136,7
1,S2,Full 9 (S9 excluded),S1-S2-S3-S4-S5-S6-S7-S8-S10,,,0.5588235294117647,0.3342391304347826,0.35370139253809774,136,7
2,S2,Selected 1,S3,0.4093647263895208,0.35210627820337426,0.4740740740740741,0.4588164251207729,0.4350823070756197,135,7
2,S2,Selected 2,S3-S8,0.4975237194234922,0.4791500952090667,0.4740740740740741,0.5419685990338164,0.45486074042442143,135,7
2,S2,Selected 3,S3-S5-S8,0.576489733599072,0.53871899852797,0.48148148148148145,0.5758454106280193,0.4962594573667034,135,7
2,S2,Full 10,S1-S2-S3-S4-S5-S6-S7-S8-S9-S10,,,0.6,0.5899758454106281,0.5692770739378628,135,7
2,S2,Full 9 (S9 excluded),S1-S2-S3-S4-S5-S6-S7-S8-S10,,,0.5481481481481482,0.6897342995169082,0.5835149529228476,135,7
3,S2,Selected 1,S3,0.39185282588298903,0.32329114122592384,0.5522388059701493,0.4349087893864013,0.4137338665472605,134,7
3,S2,Selected 2,S3-S6,0.4760886288822098,0.40159239914674705,0.48507462686567165,0.41950663349917083,0.4212518775626192,134,7
3,S2,Selected 3,S3-S4-S6,0.5054607366060779,0.45037212183951314,0.582089552238806,0.5986733001658375,0.5998034406946118,134,7
3,S2,Full 10,S1-S2-S3-S4-S5-S6-S7-S8-S9-S10,,,0.6567164179104478,0.6543117744610282,0.6274828231835474,134,7
3,S2,Full 9 (S9 excluded),S1-S2-S3-S4-S5-S6-S7-S8-S10,,,0.664179104477612,0.6016169154228855,0.5795950620946211,134,7
4,S2,Selected 1,S3,0.437713988677385,0.3801182042685125,0.4485294117647059,0.4125,0.38074857268335527,136,7
4,S2,Selected 2,S3-S8,0.4635618289331929,0.44974065361597804,0.5735294117647058,0.4553030303030303,0.4586629904140984,136,7
4,S2,Selected 3,S3-S6-S8,0.5168466087576525,0.49019711226476315,0.5661764705882353,0.5170454545454546,0.506298744633146,136,7
4,S2,Full 10,S1-S2-S3-S4-S5-S6-S7-S8-S9-S10,,,0.7132352941176471,0.6185606060606061,0.6295603526115285,136,7
4,S2,Full 9 (S9 excluded),S1-S2-S3-S4-S5-S6-S7-S8-S10,,,0.7132352941176471,0.6079545454545454,0.6357278879531202,136,7
5,S2,Selected 1,S3,0.44197903456573345,0.39521873504676885,0.34306569343065696,0.3,0.29905823343323346,137,7
5,S2,Selected 2,S3-S8,0.5068527867199948,0.49313122300224826,0.5109489051094891,0.40674603174603174,0.429960592355479,137,7
5,S2,Selected 3,S3-S4-S8,0.5270741878841089,0.507356354754554,0.5328467153284672,0.35575396825396827,0.3759186891539833,137,7
5,S2,Full 10,S1-S2-S3-S4-S5-S6-S7-S8-S9-S10,,,0.6423357664233577,0.4271825396825397,0.46432108394398897,137,7
5,S2,Full 9 (S9 excluded),S1-S2-S3-S4-S5-S6-S7-S8-S10,,,0.635036496350365,0.39841269841269844,0.44892901216430625,137,7
1,S3,Selected 1,S2,0.36993714872242306,0.33481945557803483,0.3308270676691729,0.22866915422885573,0.23050485967333792,133,7
1,S3,Selected 2,S2-S8,0.49997357530093833,0.4863300518401174,0.42857142857142855,0.38240049751243776,0.3390016233766234,133,7
1,S3,Selected 3,S2-S7-S8,0.564076883279661,0.5488311055549193,0.518796992481203,0.4168117744610282,0.36207184628237254,133,7
1,S3,Full 10,S1-S2-S3-S4-S5-S6-S7-S8-S9-S10,,,0.5263157894736842,0.3160240464344942,0.33562521499828,133,7
1,S3,Full 9 (S9 excluded),S1-S2-S3-S4-S5-S6-S7-S8-S10,,,0.5037593984962406,0.3372512437810945,0.3491155231952778,133,7
2,S3,Selected 1,S8,0.39719078180638373,0.31214256535947715,0.35507246376811596,0.37083333333333335,0.30365936911487756,138,7
