configuration,participant,accuracy,balanced_accuracy,macro_f1,support
Selected 1,All,0.4360236220472441,0.3594010715632871,0.35545627820668635,2032
Selected 1,S1,0.4815361890694239,0.37168907446336064,0.3816591870548228,677
Selected 1,S2,0.4424778761061947,0.3875831883027748,0.3662236557653663,678
Selected 1,S3,0.38404726735598227,0.32184209715236123,0.3107710044961026,677
Selected 2,All,0.5029527559055118,0.4518092603684418,0.4504055782765657,2032
Selected 2,S1,0.568685376661743,0.46107436978516386,0.47565706680339304,677
Selected 2,S2,0.4882005899705015,0.4384128210621617,0.4416288754899216,678
Selected 2,S3,0.4519940915805022,0.4572265826637565,0.42031557158797617,677
Selected 3,All,0.5521653543307087,0.49352244494864594,0.5057081103053791,2032
Selected 3,S1,0.6026587887740029,0.4938058668208113,0.5162294250575927,677
Selected 3,S2,0.5132743362831859,0.47975289374032504,0.4882941931705672,678
Selected 3,S3,0.5406203840472673,0.5080945168031438,0.4995186322954533,677
Full 10,All,0.6377952755905512,0.5315742396474855,0.5822136451517581,2032
Full 10,S1,0.6602658788774003,0.5449230263400897,0.5935753617837862,677
Full 10,S2,0.6342182890855457,0.5278231423832402,0.5726214117697842,678
Full 10,S3,0.6189069423929099,0.5216272229565899,0.5699634981231028,677
Full 9 (S9 excluded),All,0.6274606299212598,0.5277042641039955,0.5745700167422132,2032
Full 9 (S9 excluded),S1,0.6632200886262924,0.5413600728504041,0.5958595861660654,677
Full 9 (S9 excluded),S2,0.6238938053097345,0.5279221893412009,0.5648004691752184,678
Full 9 (S9 excluded),S3,0.5952732644017725,0.5139882201232969,0.54951718430187,677
