participant,sensor,position,median_dr_over_r0,valid_samples
S1,1,1,0.0640099789915967,6980
S1,1,2,0.0124140565317037,1001
S1,1,3,0.0640099789915967,998
S1,1,4,0.0617958496792735,1005
S1,1,5,0.127241983896867,1003
S1,1,6,0.0967752728164923,1003
S1,1,7,0.0706870983687594,999
S1,1,8,0.0345973322150358,1000
S1,2,1,0.11646136715614,6980
S1,2,2,-0.0361854980325742,1001
S1,2,3,0.102667191785293,998
S1,2,4,0.567008108834999,1005
S1,2,5,0.211598128906502,1003
S1,2,6,0.171375496908256,979
S1,2,7,0.144699705218974,999
S1,2,8,0.0399339031770973,1000
S1,3,1,0.0803165152809498,6980
S1,3,2,0.0583296961539785,1001
S1,3,3,0.0117579038590042,998
S1,3,4,0.111389848649033,1005
S1,3,5,0.231469912035186,1003
S1,3,6,0.142398460682493,1003
S1,3,7,0.111389848649033,999
S1,3,8,0.0193328982928507,1000
S1,4,1,0.0271702782236491,6980
S1,4,2,0.0150987224157956,1001
S1,4,3,0.0946367566060099,998
S1,4,4,-0.0063819342169857,1005
S1,4,5,0.0360673930589184,1003
S1,4,6,0.0599078341013825,1003
S1,4,7,0.712965629800307,999
S1,4,8,0.2188247080817025,1000
S1,5,1,0.0144613479568371,6980
S1,5,2,0.0341657672135882,1001
S1,5,3,0.0408439875203456,998
S1,5,4,-0.0141984176108045,1005
S1,5,5,0.0015935210307661,1003
S1,5,6,0.0026577993768441,1003
S1,5,7,0.0692829853914576,999
S1,5,8,0.19795287588218,1000
S1,6,1,0.0678690399703795,6980
S1,6,2,0.0796686182722647,1001
S1,6,3,0.0713907868227344,998
S1,6,4,-0.0133133670851421,1005
S1,6,5,0.0678690399703795,1003
S1,6,6,0.05048915568457,1003
S1,6,7,0.224742920727496,999
S1,6,8,0.256354310332633,1000
S1,7,1,0.0495426941981029,6980
S1,7,2,0.0731989673172973,1001
S1,7,3,0.0777823460397857,998
S1,7,4,0.0308784914378083,1005
S1,7,5,-0.0124376495969456,1003
S1,7,6,0.082390994941309,1003
S1,7,7,0.250157694718904,999
S1,7,8,0.219227151530628,1000
S1,8,1,-0.0166211950499568,6976
S1,8,2,-0.0156518972192083,1001
S1,8,3,-0.0286498902941455,998
S1,8,4,-0.0414619587676203,1005
S1,8,5,-0.0348417232826946,1003
S1,8,6,0.0341800902631298,1003
S1,8,7,0.125531985597845,999
S1,8,8,0.0559410806110412,1000
S1,9,1,0.11055275824991,6980
S1,9,2,0.0610590239127813,1001
S1,9,3,0.0111017177567268,998
S1,9,4,0.0958912835647724,1005
S1,9,5,0.0712129479282395,1003
S1,9,6,0.285895912826499,1003
S1,9,7,0.176503319247768,999
S1,9,8,0.288403566416084,1000
S1,10,1,0.0429153639854588,6980
S1,10,2,0.043935518323535,1001
S1,10,3,0.024726684095507,998
S1,10,4,0.0127813407550823,1005
S1,10,5,0.014762346055828,1003
S1,10,6,0.024726684095507,1003
S1,10,7,0.222767902634127,999
S1,10,8,0.160510299178779,1000
S2,1,1,-0.0346377404341325,6990
S2,1,2,-0.004154308992329,996
S2,1,3,-0.0286344899509573,1000
S2,1,4,-0.0164889175448426,997
S2,1,5,-0.0286344899509573,1000
S2,1,6,-0.0144463953811854,999
S2,1,7,-0.0678088766655742,1000
S2,1,8,-0.0810628775040196,1003
S2,2,1,0.0444288850200589,7015
S2,2,2,-0.0189204187320535,996
S2,2,3,0.133563060506902,999
S2,2,4,0.268018278229067,997
S2,2,5,0.116165025465109,1000
S2,2,6,0.0757234486375481,999
S2,2,7,0.0,1000
S2,2,8,-0.0228502762849141,1003
S2,3,1,0.102390140669737,7015
S2,3,2,0.122286062948086,996
S2,3,3,0.039909701127351,1000
S2,3,4,0.0134385088821388,997
S2,3,5,0.343396226415094,1000
S2,3,6,0.250525933044178,999
S2,3,7,0.108195162022525,1000
S2,3,8,0.0650217754423613,1003
S2,4,1,-0.0137403799917767,7015
S2,4,2,0.0188895796998571,996
S2,4,3,0.0360085278937856,1000
S2,4,4,0.0010671362935007,997
S2,4,5,-0.0137403799917767,1000
S2,4,6,0.0,999
S2,4,7,-0.0251780628057913,1000
S2,4,8,-0.0525435220978664,1003
S2,5,1,-0.0195379594641017,7015
S2,5,2,-0.0225794227246888,996
S2,5,3,0.0031291263204225,1000
S2,5,4,-0.0455145646606914,997
S2,5,5,-0.0276226323457988,1000
S2,5,6,-0.0195379594641017,999
S2,5,7,-0.0113698318945933,1000
S2,5,8,0.0361939076318377,1003
S2,6,1,-0.0577998110607465,7015
S2,6,2,-0.0248644321735834,996
S2,6,3,-0.0390098551212938,1000
S2,6,4,-0.110602478579711,997
S2,6,5,-0.109691784835345,1000
S2,6,6,-0.0949652842363715,999
S2,6,7,-0.0083761987092062,1000
S2,6,8,-0.0125310151550311,1003
S2,7,1,-0.0161515763317285,7015
S2,7,2,0.0460982292937898,996
S2,7,3,-0.024110111674858,1000
S2,7,4,-0.0599382369455362,997
S2,7,5,-0.0494515765814723,1000
S2,7,6,-0.0060938860242416,999
S2,7,7,0.0712286325784835,1000
S2,7,8,0.100543168339416,1003
S2,8,1,0.0380582723730841,7015
S2,8,2,0.0660549434187016,996
S2,8,3,0.0,1000
S2,8,4,-0.0009810404059279,997
S2,8,5,0.0629036933528569,1000
S2,8,6,0.086253977567647,999
S2,8,7,0.3571387925993985,1000
S2,8,8,0.13018698130187,1003
S2,9,1,-0.0049486703847153,6817
S2,9,2,0.102898416947432,996
S2,9,3,-0.0079046614821481,1000
S2,9,4,-0.018659414424623,901
S2,9,5,0.293782199023861,1000
S2,9,6,0.0690832088006717,999
S2,9,7,0.03336761414213,1000
S2,9,8,-0.0321595710629305,1003
S2,10,1,-0.0467408258419428,7015
S2,10,2,-0.05138724412113,996
S2,10,3,-0.0569337260841275,1000
S2,10,4,-0.0383209527178399,997
S2,10,5,-0.0560115155067082,1000
S2,10,6,-0.0797067697685154,999
S2,10,7,0.209428679889912,1000
S2,10,8,-0.0606137979651081,1003
S3,1,1,0.0175660603980783,7006
S3,1,2,0.0355098855359001,998
S3,1,3,0.0196572580645162,997
S3,1,4,0.0238554161938726,999
S3,1,5,0.0102879107627375,1002
S3,1,6,-0.0236821355468519,1004
S3,1,7,0.014439060264754,1002
S3,1,8,0.0040998378086141,1002
S3,2,1,-0.0072357566786551,7006
S3,2,2,-0.0580507217295112,998
S3,2,3,0.0887471612252804,997
S3,2,4,0.210149311070464,999
S3,2,5,0.0041641562244982,1002
S3,2,6,0.0350114619238206,1004
S3,2,7,-0.0072357566786551,1002
S3,2,8,-0.111157821091909,1002
S3,3,1,0.179338264664729,7006
S3,3,2,0.135282383046988,998
S3,3,3,-0.0026653206548433,997
S3,3,4,0.0803159662458898,999
S3,3,5,0.409939665959684,1002
S3,3,6,0.2564293155305265,1004
S3,3,7,0.101866034950556,1002
S3,3,8,0.260063875685111,1002
S3,4,1,0.0587877489234342,7006
S3,4,2,0.0898500913819272,998
S3,4,3,0.0933741742419966,997
S3,4,4,0.0475739352500206,999
S3,4,5,0.0610490468873293,1002
S3,4,6,0.0735983874961205,1004
S3,4,7,0.0735983874961205,1002
S3,4,8,0.0277704311028829,1002
S3,5,1,0.0252993290580865,7006
S3,5,2,0.0491992101799035,998
S3,5,3,0.0692796690817271,997
S3,5,4,0.0795033127377639,999
S3,5,5,0.0263707374069586,1002
S3,5,6,0.0480977035255205,1004
S3,5,7,0.0349928219852338,1002
S3,5,8,0.0448019430586293,1002
S3,6,1,-0.007373868645585,7006
S3,6,2,0.0149591383035351,998
S3,6,3,0.0638925294888597,997
S3,6,4,-0.0063247150403113,999
S3,6,5,-0.0321366729448934,1002
S3,6,6,-0.0229434199830083,1004
S3,6,7,0.001059111618726,1002
S3,6,8,-0.0021139324408873,1002
S3,7,1,-0.0342172523961661,7006
S3,7,2,0.0020583805998509,998
S3,7,3,-0.0322441579609407,997
S3,7,4,-0.0252998667478569,999
S3,7,5,-0.0391288049550166,1002
S3,7,6,-0.0641907730240311,1004
S3,7,7,-0.0223052910755067,1002
S3,7,8,-0.0469249201277955,1002
S3,8,1,-0.0275129420401124,7006
S3,8,2,-0.0265598986955161,998
S3,8,3,-0.032264928175246,997
S3,8,4,-0.046389857551186,999
S3,8,5,-0.0014665225918595,1002
S3,8,6,-0.0473245987051105,1004
S3,8,7,0.183645876337672,1002
S3,8,8,0.0252490246633415,1002
S3,9,1,0.196619217081851,7006
S3,9,2,0.21959483413292202,998
S3,9,3,0.295011252813203,997
S3,9,4,0.308062688821752,999
S3,9,5,0.312452687358062,1002
S3,9,6,0.2673292789527545,1004
S3,9,7,0.041259765625,1002
S3,9,8,-0.0092329545454544,1002
S3,10,1,-0.0887733066789248,7006
