configuration,sensors,selection_count,selection_frequency
Selected 1,S2,3,0.2
Selected 1,S3,5,0.3333333333333333
Selected 1,S4,5,0.3333333333333333
Selected 1,S8,2,0.13333333333333333
Selected 2,S2-S7,1,0.06666666666666667
Selected 2,S2-S8,4,0.26666666666666666
Selected 2,S3-S6,1,0.06666666666666667
Selected 2,S3-S8,4,0.26666666666666666
Selected 2,S4-S5,2,0.13333333333333333
Selected 2,S4-S7,3,0.2
Selected 3,S2-S3-S8,2,0.13333333333333333
Selected 3,S2-S6-S8,1,0.06666666666666667
Selected 3,S2-S7-S8,2,0.13333333333333333
Selected 3,S3-S4-S6,1,0.06666666666666667
Selected 3,S3-S4-S8,1,0.06666666666666667
Selected 3,S3-S5-S8,1,0.06666666666666667
Selected 3,S3-S6-S8,2,0.13333333333333333
Selected 3,S4-S5-S6,1,0.06666666666666667
Selected 3,S4-S5-S8,1,0.06666666666666667
Selected 3,S4-S6-S7,1,0.06666666666666667
Selected 3,S4-S7-S8,2,0.13333333333333333
